"Step","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX"
"1","1225.3932869741122","1225.3932869741122","1225.3932869741122","1225.7391542904097","1225.7391542904097","1225.7391542904097","1233.5949796576335","1233.5949796576335","1233.5949796576335"
"3","1221.695509182286","1221.695509182286","1221.695509182286","1229.9573697569297","1229.9573697569297","1229.9573697569297","1226.1959871669242","1226.1959871669242","1226.1959871669242"
"5","1221.1765679082414","1221.1765679082414","1221.1765679082414","1227.0794202371737","1227.0794202371737","1227.0794202371737","1223.77185302432","1223.77185302432","1223.77185302432"
"7","1224.8738499531473","1224.8738499531473","1224.8738499531473","1225.2331713224712","1225.2331713224712","1225.2331713224712","1222.6175734861376","1222.6175734861376","1222.6175734861376"
"9","1221.235488388717","1221.235488388717","1221.235488388717","1224.912019349301","1224.912019349301","1224.912019349301","1222.4989283394439","1222.4989283394439","1222.4989283394439"
"11","1221.1016747678848","1221.1016747678848","1221.1016747678848","1221.5347151652873","1221.5347151652873","1221.5347151652873","1221.8436536432812","1221.8436536432812","1221.8436536432812"
"13","1220.4023798400603","1220.4023798400603","1220.4023798400603","1215.9956439769885","1215.9956439769885","1215.9956439769885","1219.5152099440522","1219.5152099440522","1219.5152099440522"
"15","1221.6973133072033","1221.6973133072033","1221.6973133072033","1213.495928735341","1213.495928735341","1213.495928735341","1217.0952216012893","1217.0952216012893","1217.0952216012893"
"17","1221.3677612731924","1221.3677612731924","1221.3677612731924","1211.7649757593954","1211.7649757593954","1211.7649757593954","1218.994565344375","1218.994565344375","1218.994565344375"
"19","1219.2844752757842","1219.2844752757842","1219.2844752757842","1209.7990445143341","1209.7990445143341","1209.7990445143341","1216.2188689066597","1216.2188689066597","1216.2188689066597"
"21","1221.0955643708312","1221.0955643708312","1221.0955643708312","1206.8401792205327","1206.8401792205327","1206.8401792205327","1214.5411508107593","1214.5411508107593","1214.5411508107593"
"23","1219.2123599108634","1219.2123599108634","1219.2123599108634","1205.8077483705786","1205.8077483705786","1205.8077483705786","1213.3517248601318","1213.3517248601318","1213.3517248601318"
"25","1217.7771536713337","1217.7771536713337","1217.7771536713337","1207.1250392862785","1207.1250392862785","1207.1250392862785","1211.8070506811641","1211.8070506811641","1211.8070506811641"
"27","1215.6140251825389","1215.6140251825389","1215.6140251825389","1207.136271596548","1207.136271596548","1207.136271596548","1210.3573457375853","1210.3573457375853","1210.3573457375853"
"29","1211.2257641875017","1211.2257641875017","1211.2257641875017","1208.0424626133954","1208.0424626133954","1208.0424626133954","1207.3899433637823","1207.3899433637823","1207.3899433637823"
"31","1205.4024678572553","1205.4024678572553","1205.4024678572553","1207.2255579005591","1207.2255579005591","1207.2255579005591","1204.9234607105598","1204.9234607105598","1204.9234607105598"
"33","1203.6414216202545","1203.6414216202545","1203.6414216202545","1207.1900630274679","1207.1900630274679","1207.1900630274679","1201.4933901476113","1201.4933901476113","1201.4933901476113"
"35","1203.9234076998446","1203.9234076998446","1203.9234076998446","1208.1721457660335","1208.1721457660335","1208.1721457660335","1200.0251512406355","1200.0251512406355","1200.0251512406355"
"37","1202.571613218699","1202.571613218699","1202.571613218699","1209.4485883396019","1209.4485883396019","1209.4485883396019","1200.255966605556","1200.255966605556","1200.255966605556"
"39","1203.7756787274388","1203.7756787274388","1203.7756787274388","1206.4914708632296","1206.4914708632296","1206.4914708632296","1200.5724097006664","1200.5724097006664","1200.5724097006664"
"41","1205.371364086354","1205.371364086354","1205.371364086354","1205.426651913898","1205.426651913898","1205.426651913898","1199.8679226981062","1199.8679226981062","1199.8679226981062"
"43","1210.3308657141947","1210.3308657141947","1210.3308657141947","1205.6188717482692","1205.6188717482692","1205.6188717482692","1200.9028877643264","1200.9028877643264","1200.9028877643264"
"45","1212.1283969560952","1212.1283969560952","1212.1283969560952","1206.7914258399971","1206.7914258399971","1206.7914258399971","1202.6768815848527","1202.6768815848527","1202.6768815848527"
"47","1214.800410892309","1214.800410892309","1214.800410892309","1206.8563662199322","1206.8563662199322","1206.8563662199322","1203.0278819167427","1203.0278819167427","1203.0278819167427"
"49","1215.190211132534","1215.190211132534","1215.190211132534","1205.4870719252772","1205.4870719252772","1205.4870719252772","1202.423878423997","1202.423878423997","1202.423878423997"
"51","1214.870393276859","1214.870393276859","1214.870393276859","1206.6460360748488","1206.6460360748488","1206.6460360748488","1202.0176650820238","1202.0176650820238","1202.0176650820238"
