"Step","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX"
"1","1231.4048186571777","1231.4048186571777","1231.4048186571777","1218.6573048510104","1218.6573048510104","1218.6573048510104","1229.9089212224378","1229.9089212224378","1229.9089212224378"
"3","1229.4311358851971","1229.4311358851971","1229.4311358851971","1225.7827887916042","1225.7827887916042","1225.7827887916042","1225.1007921105027","1225.1007921105027","1225.1007921105027"
"5","1230.8951052015314","1230.8951052015314","1230.8951052015314","1220.3616695435032","1220.3616695435032","1220.3616695435032","1222.6131513802627","1222.6131513802627","1222.6131513802627"
"7","1232.98836721397","1232.98836721397","1232.98836721397","1219.5176969799545","1219.5176969799545","1219.5176969799545","1222.855839768054","1222.855839768054","1222.855839768054"
"9","1232.8478033753072","1232.8478033753072","1232.8478033753072","1219.3597985151875","1219.3597985151875","1219.3597985151875","1220.9742237424045","1220.9742237424045","1220.9742237424045"
"11","1231.9223689270368","1231.9223689270368","1231.9223689270368","1218.45919313225","1218.45919313225","1218.45919313225","1221.2817593423044","1221.2817593423044","1221.2817593423044"
"13","1231.891907712488","1231.891907712488","1231.891907712488","1216.3645860669465","1216.3645860669465","1216.3645860669465","1219.5635950690644","1219.5635950690644","1219.5635950690644"
"15","1227.6047524733692","1227.6047524733692","1227.6047524733692","1211.778340898315","1211.778340898315","1211.778340898315","1216.603727591111","1216.603727591111","1216.603727591111"
"17","1224.535210544615","1224.535210544615","1224.535210544615","1212.0129847931214","1212.0129847931214","1212.0129847931214","1216.6869559661154","1216.6869559661154","1216.6869559661154"
"19","1220.584798918987","1220.584798918987","1220.584798918987","1210.1077039384263","1210.1077039384263","1210.1077039384263","1214.0334357113504","1214.0334357113504","1214.0334357113504"
