"Step","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX"
"1","1227.7686753755775","1227.7686753755775","1227.7686753755775","1233.9345879372702","1233.9345879372702","1233.9345879372702","1228.3618635052082","1228.3618635052082","1228.3618635052082"
"3","1229.4919602364319","1229.4919602364319","1229.4919602364319","1229.4488026993708","1229.4488026993708","1229.4488026993708","1228.1087258905704","1228.1087258905704","1228.1087258905704"
"5","1228.9272327049641","1228.9272327049641","1228.9272327049641","1229.292659990847","1229.292659990847","1229.292659990847","1226.8438863205022","1226.8438863205022","1226.8438863205022"
"7","1231.1409464673352","1231.1409464673352","1231.1409464673352","1226.427401256389","1226.427401256389","1226.427401256389","1222.2127188459403","1222.2127188459403","1222.2127188459403"
"9","1232.0462375371249","1232.0462375371249","1232.0462375371249","1221.212270470493","1221.212270470493","1221.212270470493","1223.6031146345192","1223.6031146345192","1223.6031146345192"
"11","1230.5347910180326","1230.5347910180326","1230.5347910180326","1219.6932727107499","1219.6932727107499","1219.6932727107499","1224.4303028198783","1224.4303028198783","1224.4303028198783"
"13","1227.84727127098","1227.84727127098","1227.84727127098","1215.932574166324","1215.932574166324","1215.932574166324","1222.8220837437175","1222.8220837437175","1222.8220837437175"
"15","1226.8539129247397","1226.8539129247397","1226.8539129247397","1210.475837317065","1210.475837317065","1210.475837317065","1217.918034513386","1217.918034513386","1217.918034513386"
"17","1226.2281708632295","1226.2281708632295","1226.2281708632295","1208.3204432373486","1208.3204432373486","1208.3204432373486","1215.1120053323637","1215.1120053323637","1215.1120053323637"
"19","1222.1784809811295","1222.1784809811295","1222.1784809811295","1207.423405174321","1207.423405174321","1207.423405174321","1213.496756582482","1213.496756582482","1213.496756582482"
"21","1219.3764837595218","1219.3764837595218","1219.3764837595218","1208.2372759016337","1208.2372759016337","1208.2372759016337","1209.3187865315924","1209.3187865315924","1209.3187865315924"
"23","1217.5868618611116","1217.5868618611116","1217.5868618611116","1208.3354094794067","1208.3354094794067","1208.3354094794067","1205.9874737554126","1205.9874737554126","1205.9874737554126"
"25","1217.9944283465559","1217.9944283465559","1217.9944283465559","1208.694674011442","1208.694674011442","1208.694674011442","1205.5776562695573","1205.5776562695573","1205.5776562695573"
"27","1216.8945081644906","1216.8945081644906","1216.8945081644906","1211.2698700856588","1211.2698700856588","1211.2698700856588","1205.8785623004705","1205.8785623004705","1205.8785623004705"
