"Step","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX"
"1","1227.868635593947","1227.868635593947","1227.868635593947","1224.2415369210546","1224.2415369210546","1224.2415369210546","1224.0645172921395","1224.0645172921395","1224.0645172921395"
"3","1230.5799430230222","1230.5799430230222","1230.5799430230222","1232.4942209356739","1232.4942209356739","1232.4942209356739","1221.6012439864714","1221.6012439864714","1221.6012439864714"
"5","1231.33714506782","1231.33714506782","1231.33714506782","1226.8754797389129","1226.8754797389129","1226.8754797389129","1216.1851189469605","1216.1851189469605","1216.1851189469605"
"7","1232.232943127311","1232.232943127311","1232.232943127311","1226.6123513212374","1226.6123513212374","1226.6123513212374","1216.0742958353744","1216.0742958353744","1216.0742958353744"
"9","1232.0450027538955","1232.0450027538955","1232.0450027538955","1224.6999836572036","1224.6999836572036","1224.6999836572036","1215.3898861143593","1215.3898861143593","1215.3898861143593"
"11","1230.7633721901373","1230.7633721901373","1230.7633721901373","1224.0176161243644","1224.0176161243644","1224.0176161243644","1216.2185492574242","1216.2185492574242","1216.2185492574242"
"13","1228.084085441097","1228.084085441097","1228.084085441097","1223.3321853494322","1223.3321853494322","1223.3321853494322","1214.0176331826653","1214.0176331826653","1214.0176331826653"
"15","1224.767314381894","1224.767314381894","1224.767314381894","1219.8368728134776","1219.8368728134776","1219.8368728134776","1212.9122829313776","1212.9122829313776","1212.9122829313776"
"17","1221.8802672408885","1221.8802672408885","1221.8802672408885","1221.0784028858611","1221.0784028858611","1221.0784028858611","1211.5884271296263","1211.5884271296263","1211.5884271296263"
"19","1220.3991302778388","1220.3991302778388","1220.3991302778388","1220.6076472895656","1220.6076472895656","1220.6076472895656","1209.046086275563","1209.046086275563","1209.046086275563"
