"Step","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX"
"1","1220.0778662641837","1220.0778662641837","1220.0778662641837","1226.3536098555485","1226.3536098555485","1226.3536098555485","1235.0638321314548","1235.0638321314548","1235.0638321314548"
"3","1222.4732759743333","1222.4732759743333","1222.4732759743333","1220.1197543382748","1220.1197543382748","1220.1197543382748","1234.6943751303847","1234.6943751303847","1234.6943751303847"
"5","1219.7697744729267","1219.7697744729267","1219.7697744729267","1223.0320957230867","1223.0320957230867","1223.0320957230867","1234.1409499313684","1234.1409499313684","1234.1409499313684"
"7","1221.491002830941","1221.491002830941","1221.491002830941","1220.5634437882552","1220.5634437882552","1220.5634437882552","1230.6613861439923","1230.6613861439923","1230.6613861439923"
"9","1220.52659446218","1220.52659446218","1220.52659446218","1217.371847168663","1217.371847168663","1217.371847168663","1229.5446492832755","1229.5446492832755","1229.5446492832755"
"11","1220.9079863573581","1220.9079863573581","1220.9079863573581","1217.1051519482724","1217.1051519482724","1217.1051519482724","1228.060272801624","1228.060272801624","1228.060272801624"
"13","1219.1933155482502","1219.1933155482502","1219.1933155482502","1216.3227673736444","1216.3227673736444","1216.3227673736444","1225.96585816291","1225.96585816291","1225.96585816291"
"15","1218.0371685652867","1218.0371685652867","1218.0371685652867","1214.7258436198122","1214.7258436198122","1214.7258436198122","1222.2153539273631","1222.2153539273631","1222.2153539273631"
"17","1218.389094879413","1218.389094879413","1218.389094879413","1211.484156633056","1211.484156633056","1211.484156633056","1217.6672633119445","1217.6672633119445","1217.6672633119445"
"19","1215.9959685368392","1215.9959685368392","1215.9959685368392","1212.5518407497548","1212.5518407497548","1212.5518407497548","1213.8975284287383","1213.8975284287383","1213.8975284287383"
