"Step","lyric-armadillo-72penalty_weight0 - make_span_mean","lyric-armadillo-72penalty_weight0 - make_span_mean__MIN","lyric-armadillo-72penalty_weight0 - make_span_mean__MAX","magic-serenity-71penalty_weight0 - make_span_mean","magic-serenity-71penalty_weight0 - make_span_mean__MIN","magic-serenity-71penalty_weight0 - make_span_mean__MAX","dry-microwave-70penalty_weight0 - make_span_mean","dry-microwave-70penalty_weight0 - make_span_mean__MIN","dry-microwave-70penalty_weight0 - make_span_mean__MAX"
"0","1803.4285714285713","1803.4285714285713","1803.4285714285713","1826.5","1826.5","1826.5","1768.7142857142858","1768.7142857142858","1768.7142857142858"
"2","1787.1","1787.1","1787.1","1840.1666666666667","1840.1666666666667","1840.1666666666667","1772.1666666666667","1772.1666666666667","1772.1666666666667"
"4","1785.2173913043478","1785.2173913043478","1785.2173913043478","1838.608695652174","1838.608695652174","1838.608695652174","1776.2173913043478","1776.2173913043478","1776.2173913043478"
"6","1769.6612903225807","1769.6612903225807","1769.6612903225807","1829.0806451612902","1829.0806451612902","1829.0806451612902","1764.2857142857142","1764.2857142857142","1764.2857142857142"
"8","1764.2051282051282","1764.2051282051282","1764.2051282051282","1817.6153846153845","1817.6153846153845","1817.6153846153845","1757.35","1757.35","1757.35"
"10","1759.7052631578947","1759.7052631578947","1759.7052631578947","1818.5473684210526","1818.5473684210526","1818.5473684210526","1753.9583333333333","1753.9583333333333","1753.9583333333333"
"12","1745.41","1745.41","1745.41","1807.09","1807.09","1807.09","1738.23","1738.23","1738.23"
"14","1723.98","1723.98","1723.98","1791.5","1791.5","1791.5","1723.94","1723.94","1723.94"
"16","1699.42","1699.42","1699.42","1766.51","1766.51","1766.51","1701.38","1701.38","1701.38"
"18","1686.91","1686.91","1686.91","1755.28","1755.28","1755.28","1692.59","1692.59","1692.59"
"20","1671.5","1671.5","1671.5","1748.52","1748.52","1748.52","1680.44","1680.44","1680.44"
"22","1654.57","1654.57","1654.57","1736.01","1736.01","1736.01","1668.52","1668.52","1668.52"
"24","1642.31","1642.31","1642.31","1734.7","1734.7","1734.7","1670.33","1670.33","1670.33"
"26","1644.11","1644.11","1644.11","1733.08","1733.08","1733.08","1666.83","1666.83","1666.83"
"28","1649.99","1649.99","1649.99","1732.59","1732.59","1732.59","1669.78","1669.78","1669.78"
"30","1650.8","1650.8","1650.8","1729.28","1729.28","1729.28","1667.83","1667.83","1667.83"
"32","1649.6","1649.6","1649.6","1718.24","1718.24","1718.24","1671.05","1671.05","1671.05"
"34","1653.6","1653.6","1653.6","1703.05","1703.05","1703.05","1660.71","1660.71","1660.71"
"36","1658.12","1658.12","1658.12","1687.76","1687.76","1687.76","1654.29","1654.29","1654.29"
"38","1646.13","1646.13","1646.13","1680.42","1680.42","1680.42","1646.29","1646.29","1646.29"
"40","1644.67","1644.67","1644.67","1668.69","1668.69","1668.69","1641.73","1641.73","1641.73"
"42","1625.72","1625.72","1625.72","1651.72","1651.72","1651.72","1631.4","1631.4","1631.4"
