"Step","happy-wildflower-78penalty_weight0.5 - make_span_mean","happy-wildflower-78penalty_weight0.5 - make_span_mean__MIN","happy-wildflower-78penalty_weight0.5 - make_span_mean__MAX","magic-oath-77penalty_weight0.5 - make_span_mean","magic-oath-77penalty_weight0.5 - make_span_mean__MIN","magic-oath-77penalty_weight0.5 - make_span_mean__MAX","distinctive-shape-76penalty_weight0.5 - make_span_mean","distinctive-shape-76penalty_weight0.5 - make_span_mean__MIN","distinctive-shape-76penalty_weight0.5 - make_span_mean__MAX"
"0","1886.142857142857","1886.142857142857","1886.142857142857","1836.5714285714287","1836.5714285714287","1836.5714285714287","1842.142857142857","1842.142857142857","1842.142857142857"
"2","1873.8333333333333","1873.8333333333333","1873.8333333333333","1818.7333333333333","1818.7333333333333","1818.7333333333333","1816.2","1816.2","1816.2"
"4","1837.5869565217392","1837.5869565217392","1837.5869565217392","1805.6739130434783","1805.6739130434783","1805.6739130434783","1803.8260869565217","1803.8260869565217","1803.8260869565217"
"6","1823.983870967742","1823.983870967742","1823.983870967742","1796.274193548387","1796.274193548387","1796.274193548387","1801.1129032258063","1801.1129032258063","1801.1129032258063"
"8","1794.6455696202531","1794.6455696202531","1794.6455696202531","1780.275","1780.275","1780.275","1777.0128205128206","1777.0128205128206","1777.0128205128206"
"10","1777.75","1777.75","1777.75","1771.2708333333333","1771.2708333333333","1771.2708333333333","1753.09375","1753.09375","1753.09375"
"12","1750.31","1750.31","1750.31","1753.77","1753.77","1753.77","1725.94","1725.94","1725.94"
"14","1711.44","1711.44","1711.44","1743.32","1743.32","1743.32","1702.77","1702.77","1702.77"
"16","1686.48","1686.48","1686.48","1721.58","1721.58","1721.58","1680.94","1680.94","1680.94"
"18","1665.42","1665.42","1665.42","1701.64","1701.64","1701.64","1655.25","1655.25","1655.25"
"20","1652.74","1652.74","1652.74","1682.77","1682.77","1682.77","1648.95","1648.95","1648.95"
"22","1636.04","1636.04","1636.04","1674.91","1674.91","1674.91","1642.64","1642.64","1642.64"
"24","1620.48","1620.48","1620.48","1665.04","1665.04","1665.04","1641.89","1641.89","1641.89"
"26","1609.5","1609.5","1609.5","1640.57","1640.57","1640.57","1635.34","1635.34","1635.34"
"28","1604.14","1604.14","1604.14","1647.74","1647.74","1647.74","1626.78","1626.78","1626.78"
"30","1602.04","1602.04","1602.04","1646.93","1646.93","1646.93","1613.38","1613.38","1613.38"
"32","1595.25","1595.25","1595.25","1650.13","1650.13","1650.13","1605.66","1605.66","1605.66"
"34","1586.01","1586.01","1586.01","1643.27","1643.27","1643.27","1601.2","1601.2","1601.2"
"36","1588.25","1588.25","1588.25","1636.8","1636.8","1636.8","1586.47","1586.47","1586.47"
"38","1577.27","1577.27","1577.27","1637.76","1637.76","1637.76","1574.1","1574.1","1574.1"
"40","1574.44","1574.44","1574.44","1626.63","1626.63","1626.63","1558.76","1558.76","1558.76"
"42","1562.26","1562.26","1562.26","1613.8","1613.8","1613.8","1555.82","1555.82","1555.82"
"44","1564.51","1564.51","1564.51","1598.09","1598.09","1598.09","1559.04","1559.04","1559.04"
"46","1561.38","1561.38","1561.38","1591.84","1591.84","1591.84","1556.05","1556.05","1556.05"
"48","1556.65","1556.65","1556.65","1591.06","1591.06","1591.06","1547.92","1547.92","1547.92"
"50","1562.52","1562.52","1562.52","1594.73","1594.73","1594.73","1562.23","1562.23","1562.23"
"52","1561.47","1561.47","1561.47","1590.01","1590.01","1590.01","1562.61","1562.61","1562.61"
"54","1563.42","1563.42","1563.42","1581.74","1581.74","1581.74","1566.71","1566.71","1566.71"
"56","1559.44","1559.44","1559.44","1584.36","1584.36","1584.36","1564.02","1564.02","1564.02"
"58","1548.25","1548.25","1548.25","1575.62","1575.62","1575.62","1560.35","1560.35","1560.35"
"60","1538.26","1538.26","1538.26","1566.98","1566.98","1566.98","1558.14","1558.14","1558.14"
"62","1526.02","1526.02","1526.02","1552.94","1552.94","1552.94","1545.06","1545.06","1545.06"
"64","1528.81","1528.81","1528.81","1548.66","1548.66","1548.66","1550.57","1550.57","1550.57"
"66","1520.11","1520.11","1520.11","1541.72","1541.72","1541.72","1538.72","1538.72","1538.72"
"68","1525.7","1525.7","1525.7","1538.97","1538.97","1538.97","1534.08","1534.08","1534.08"
"70","1530.9","1530.9","1530.9","1545.4","1545.4","1545.4","1526.32","1526.32","1526.32"
"72","1536.15","1536.15","1536.15","1539.4","1539.4","1539.4","1517.08","1517.08","1517.08"
"74","1534.34","1534.34","1534.34","1534.57","1534.57","1534.57","1517.75","1517.75","1517.75"
"76","1529.15","1529.15","1529.15","1538.04","1538.04","1538.04","1508.39","1508.39","1508.39"
"78","1519.46","1519.46","1519.46","1533.18","1533.18","1533.18","1507.59","1507.59","1507.59"
"80","1511.41","1511.41","1511.41","1527.7","1527.7","1527.7","1496.87","1496.87","1496.87"
"82","1509.48","1509.48","1509.48","1524.45","1524.45","1524.45","1494.45","1494.45","1494.45"
"84","1504.29","1504.29","1504.29","1523.53","1523.53","1523.53","1499.02","1499.02","1499.02"
"86","1504.85","1504.85","1504.85","1523.83","1523.83","1523.83","1496.67","1496.67","1496.67"
"88","1498.64","1498.64","1498.64","1522.03","1522.03","1522.03","1490.68","1490.68","1490.68"
"90","1497.25","1497.25","1497.25","1528.09","1528.09","1528.09","1474.39","1474.39","1474.39"
"92","1493.8","1493.8","1493.8","1523.55","1523.55","1523.55","1476.25","1476.25","1476.25"
"94","1488.45","1488.45","1488.45","1521.26","1521.26","1521.26","1466.81","1466.81","1466.81"
"96","1485.04","1485.04","1485.04","1520.14","1520.14","1520.14","1455.03","1455.03","1455.03"
"98","1479.07","1479.07","1479.07","1520.41","1520.41","1520.41","1451.24","1451.24","1451.24"
"100","1477.21","1477.21","1477.21","1523.66","1523.66","1523.66","1445.81","1445.81","1445.81"
"102","1470.69","1470.69","1470.69","1524.06","1524.06","1524.06","1446.22","1446.22","1446.22"
"104","1474.8","1474.8","1474.8","1522.41","1522.41","1522.41","1446.49","1446.49","1446.49"
"106","1478.63","1478.63","1478.63","1517.3","1517.3","1517.3","1443.82","1443.82","1443.82"
"108","1475.3","1475.3","1475.3","1514.61","1514.61","1514.61","1446.34","1446.34","1446.34"
"110","1475","1475","1475","1505.63","1505.63","1505.63","1447.33","1447.33","1447.33"
"112","1464.91","1464.91","1464.91","1503.18","1503.18","1503.18","1444.74","1444.74","1444.74"
"114","1466.34","1466.34","1466.34","1501.08","1501.08","1501.08","1442.33","1442.33","1442.33"
"116","1463.69","1463.69","1463.69","1499.07","1499.07","1499.07","1431.32","1431.32","1431.32"
"118","1467.13","1467.13","1467.13","1499.63","1499.63","1499.63","1426.33","1426.33","1426.33"
"120","1467.92","1467.92","1467.92","1493.77","1493.77","1493.77","1418.09","1418.09","1418.09"
"122","1465.55","1465.55","1465.55","1494.67","1494.67","1494.67","1419.65","1419.65","1419.65"
"124","1468.65","1468.65","1468.65","1495.02","1495.02","1495.02","1414.72","1414.72","1414.72"
"126","1466.83","1466.83","1466.83","1498.17","1498.17","1498.17","1415.48","1415.48","1415.48"
"128","1458.9","1458.9","1458.9","1492.78","1492.78","1492.78","1414.67","1414.67","1414.67"
"130","1445.71","1445.71","1445.71","1492.9","1492.9","1492.9","1406.42","1406.42","1406.42"
"132","1440.54","1440.54","1440.54","1497.21","1497.21","1497.21","1401.83","1401.83","1401.83"
"134","1443.26","1443.26","1443.26","1490.64","1490.64","1490.64","1404.28","1404.28","1404.28"
"136","1435.18","1435.18","1435.18","1483.02","1483.02","1483.02","1414.84","1414.84","1414.84"
"138","1436.67","1436.67","1436.67","1478.51","1478.51","1478.51","1416.51","1416.51","1416.51"
"140","1439.13","1439.13","1439.13","1471.8","1471.8","1471.8","1422.43","1422.43","1422.43"
"142","1437.29","1437.29","1437.29","1461.12","1461.12","1461.12","1428.7","1428.7","1428.7"
"144","1438.18","1438.18","1438.18","1452.31","1452.31","1452.31","1429.82","1429.82","1429.82"
"146","1436.81","1436.81","1436.81","1445.46","1445.46","1445.46","1424.48","1424.48","1424.48"
"148","1437.99","1437.99","1437.99","1450.27","1450.27","1450.27","1415.64","1415.64","1415.64"
"150","1429.08","1429.08","1429.08","1443.72","1443.72","1443.72","1417.66","1417.66","1417.66"
"152","1430.69","1430.69","1430.69","1442.1","1442.1","1442.1","1415.28","1415.28","1415.28"
"154","1432.68","1432.68","1432.68","1444.9","1444.9","1444.9","1405.92","1405.92","1405.92"
"156","1430.31","1430.31","1430.31","1449.13","1449.13","1449.13","1401.02","1401.02","1401.02"
"158","1423.92","1423.92","1423.92","1449.52","1449.52","1449.52","1393.96","1393.96","1393.96"
"160","1428.74","1428.74","1428.74","1444.52","1444.52","1444.52","1392.63","1392.63","1392.63"
"162","1423.29","1423.29","1423.29","1449.7","1449.7","1449.7","1395.04","1395.04","1395.04"
"164","1421.29","1421.29","1421.29","1452","1452","1452","1404.07","1404.07","1404.07"
"166","1417.52","1417.52","1417.52","1450.38","1450.38","1450.38","1409.56","1409.56","1409.56"
"168","1418.91","1418.91","1418.91","1452.67","1452.67","1452.67","1412.32","1412.32","1412.32"
"170","1420.56","1420.56","1420.56","1453.39","1453.39","1453.39","1418.1","1418.1","1418.1"
"172","1418.89","1418.89","1418.89","1451.27","1451.27","1451.27","1412.64","1412.64","1412.64"
"174","1423.87","1423.87","1423.87","1447.12","1447.12","1447.12","1404.54","1404.54","1404.54"
"176","1427","1427","1427","1443.57","1443.57","1443.57","1397.09","1397.09","1397.09"
"178","1432.39","1432.39","1432.39","1436.42","1436.42","1436.42","1391.87","1391.87","1391.87"
"180","1436.8","1436.8","1436.8","1432.15","1432.15","1432.15","1388.91","1388.91","1388.91"
"182","1441.66","1441.66","1441.66","1436.33","1436.33","1436.33","1382.29","1382.29","1382.29"
"184","1441.11","1441.11","1441.11","1435.56","1435.56","1435.56","1378.94","1378.94","1378.94"
"186","1444.79","1444.79","1444.79","1436.51","1436.51","1436.51","1378.45","1378.45","1378.45"
"188","1443.36","1443.36","1443.36","1435.33","1435.33","1435.33","1385.33","1385.33","1385.33"
"190","1433.86","1433.86","1433.86","1436.66","1436.66","1436.66","1385.84","1385.84","1385.84"
"192","1423.9","1423.9","1423.9","1433.14","1433.14","1433.14","1382.88","1382.88","1382.88"
"194","1417.91","1417.91","1417.91","1428.32","1428.32","1428.32","1393.62","1393.62","1393.62"
"196","1413.95","1413.95","1413.95","1420.48","1420.48","1420.48","1393.39","1393.39","1393.39"
"198","1409.03","1409.03","1409.03","1419.39","1419.39","1419.39","1413.02","1413.02","1413.02"
"200","1408.07","1408.07","1408.07","1426.19","1426.19","1426.19","1436.37","1436.37","1436.37"
"202","1409.25","1409.25","1409.25","1421.37","1421.37","1421.37","1447.63","1447.63","1447.63"
"204","1420.05","1420.05","1420.05","1422.33","1422.33","1422.33","1454.66","1454.66","1454.66"
"206","1423.6","1423.6","1423.6","1419.57","1419.57","1419.57","1448.69","1448.69","1448.69"
"208","1421.08","1421.08","1421.08","1417.37","1417.37","1417.37","1446.39","1446.39","1446.39"
"210","1421.93","1421.93","1421.93","1412.57","1412.57","1412.57","1418.79","1418.79","1418.79"
"212","1423.59","1423.59","1423.59","1402.87","1402.87","1402.87","1398.2","1398.2","1398.2"
"214","1414.93","1414.93","1414.93","1398.3","1398.3","1398.3","1386.38","1386.38","1386.38"
"216","1409.02","1409.02","1409.02","1401.06","1401.06","1401.06","1380.19","1380.19","1380.19"
"218","1409.69","1409.69","1409.69","1398.13","1398.13","1398.13","1379.75","1379.75","1379.75"
"220","1405.59","1405.59","1405.59","1404.22","1404.22","1404.22","1378.89","1378.89","1378.89"
"222","1404.62","1404.62","1404.62","1408.33","1408.33","1408.33","1374.33","1374.33","1374.33"
"224","1403.29","1403.29","1403.29","1408.4","1408.4","1408.4","1376.1","1376.1","1376.1"
"226","1408.44","1408.44","1408.44","1415.02","1415.02","1415.02","1376.91","1376.91","1376.91"
"228","1406.16","1406.16","1406.16","1424.84","1424.84","1424.84","1380.92","1380.92","1380.92"
"230","1408.51","1408.51","1408.51","1432.43","1432.43","1432.43","1382.03","1382.03","1382.03"
"232","1412.08","1412.08","1412.08","1429.2","1429.2","1429.2","1382.37","1382.37","1382.37"
"234","1416.11","1416.11","1416.11","1429.34","1429.34","1429.34","1384.88","1384.88","1384.88"
"236","1417.82","1417.82","1417.82","1431.87","1431.87","1431.87","1380.14","1380.14","1380.14"
"238","1412.83","1412.83","1412.83","1427.47","1427.47","1427.47","1373.53","1373.53","1373.53"
"240","1416.76","1416.76","1416.76","1413.97","1413.97","1413.97","1365.44","1365.44","1365.44"
"242","1412.4","1412.4","1412.4","1405.99","1405.99","1405.99","1366.3","1366.3","1366.3"
"244","1405.28","1405.28","1405.28","1407.61","1407.61","1407.61","1366.59","1366.59","1366.59"
"246","1408.21","1408.21","1408.21","1407.7","1407.7","1407.7","1373.29","1373.29","1373.29"
"248","1406.72","1406.72","1406.72","1404.53","1404.53","1404.53","1380.07","1380.07","1380.07"
"250","1405.57","1405.57","1405.57","1405.91","1405.91","1405.91","1385.01","1385.01","1385.01"
"252","1402.29","1402.29","1402.29","1412.68","1412.68","1412.68","1390.15","1390.15","1390.15"
"254","1405.78","1405.78","1405.78","1408.41","1408.41","1408.41","1387.99","1387.99","1387.99"
