"Step","fanciful-leaf-84penalty_weight1 - make_span_mean","fanciful-leaf-84penalty_weight1 - make_span_mean__MIN","fanciful-leaf-84penalty_weight1 - make_span_mean__MAX","spring-brook-83penalty_weight1 - make_span_mean","spring-brook-83penalty_weight1 - make_span_mean__MIN","spring-brook-83penalty_weight1 - make_span_mean__MAX","exalted-resonance-82penalty_weight1 - make_span_mean","exalted-resonance-82penalty_weight1 - make_span_mean__MIN","exalted-resonance-82penalty_weight1 - make_span_mean__MAX"
"0","1835.5714285714287","1835.5714285714287","1835.5714285714287","1836.0714285714287","1836.0714285714287","1836.0714285714287","1774.2142857142858","1774.2142857142858","1774.2142857142858"
"2","1811.7","1811.7","1811.7","1876.3333333333333","1876.3333333333333","1876.3333333333333","1788.9","1788.9","1788.9"
"4","1778.2083333333333","1778.2083333333333","1778.2083333333333","1836.5217391304348","1836.5217391304348","1836.5217391304348","1780.0212765957447","1780.0212765957447","1780.0212765957447"
"6","1755.234375","1755.234375","1755.234375","1812.467741935484","1812.467741935484","1812.467741935484","1773.234375","1773.234375","1773.234375"
"8","1736.875","1736.875","1736.875","1802.9875","1802.9875","1802.9875","1757.8375","1757.8375","1757.8375"
"10","1721.908163265306","1721.908163265306","1721.908163265306","1783.96875","1783.96875","1783.96875","1748.8854166666667","1748.8854166666667","1748.8854166666667"
"12","1695.61","1695.61","1695.61","1770.63","1770.63","1770.63","1729.56","1729.56","1729.56"
"14","1677.1","1677.1","1677.1","1729.75","1729.75","1729.75","1703.57","1703.57","1703.57"
"16","1671.03","1671.03","1671.03","1720.4","1720.4","1720.4","1692.35","1692.35","1692.35"
"18","1663.96","1663.96","1663.96","1710.17","1710.17","1710.17","1683.1","1683.1","1683.1"
"20","1656.22","1656.22","1656.22","1687.01","1687.01","1687.01","1667.64","1667.64","1667.64"
"22","1649.47","1649.47","1649.47","1690.41","1690.41","1690.41","1664.66","1664.66","1664.66"
"24","1644.69","1644.69","1644.69","1676.39","1676.39","1676.39","1658.81","1658.81","1658.81"
"26","1633.31","1633.31","1633.31","1661.56","1661.56","1661.56","1656.19","1656.19","1656.19"
"28","1618.75","1618.75","1618.75","1664.57","1664.57","1664.57","1643.33","1643.33","1643.33"
"30","1624.24","1624.24","1624.24","1659.33","1659.33","1659.33","1637.86","1637.86","1637.86"
"32","1629.56","1629.56","1629.56","1667.31","1667.31","1667.31","1638.74","1638.74","1638.74"
"34","1627.87","1627.87","1627.87","1661.79","1661.79","1661.79","1634.67","1634.67","1634.67"
"36","1630.98","1630.98","1630.98","1670.12","1670.12","1670.12","1635.14","1635.14","1635.14"
"38","1624.47","1624.47","1624.47","1678.5","1678.5","1678.5","1629.89","1629.89","1629.89"
"40","1635.87","1635.87","1635.87","1677.73","1677.73","1677.73","1632.28","1632.28","1632.28"
"42","1637.2","1637.2","1637.2","1673.51","1673.51","1673.51","1638.02","1638.02","1638.02"
"44","1629.81","1629.81","1629.81","1685.62","1685.62","1685.62","1638.92","1638.92","1638.92"
"46","1627.01","1627.01","1627.01","1685.11","1685.11","1685.11","1645.81","1645.81","1645.81"
"48","1632.29","1632.29","1632.29","1688.68","1688.68","1688.68","1653.09","1653.09","1653.09"
"50","1623.25","1623.25","1623.25","1695.39","1695.39","1695.39","1650.45","1650.45","1650.45"
"52","1618.23","1618.23","1618.23","1699.49","1699.49","1699.49","1649.27","1649.27","1649.27"
"54","1610.87","1610.87","1610.87","1702.37","1702.37","1702.37","1652.05","1652.05","1652.05"
"56","1606.05","1606.05","1606.05","1710.42","1710.42","1710.42","1650.01","1650.01","1650.01"
"58","1607.8","1607.8","1607.8","1720.33","1720.33","1720.33","1652.64","1652.64","1652.64"
"60","1610.27","1610.27","1610.27","1711.42","1711.42","1711.42","1653.89","1653.89","1653.89"
"62","1615.01","1615.01","1615.01","1705.53","1705.53","1705.53","1662.05","1662.05","1662.05"
"64","1613.13","1613.13","1613.13","1696.21","1696.21","1696.21","1656.28","1656.28","1656.28"
"66","1621.81","1621.81","1621.81","1690.24","1690.24","1690.24","1657.4","1657.4","1657.4"
"68","1619.44","1619.44","1619.44","1685.75","1685.75","1685.75","1660.87","1660.87","1660.87"
"70","1624.5","1624.5","1624.5","1686.89","1686.89","1686.89","1662.27","1662.27","1662.27"
"72","1622.32","1622.32","1622.32","1692.65","1692.65","1692.65","1665.49","1665.49","1665.49"
