Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Originale Auflösungen;∅ Anrainer DE/LU [€/MWh] Originale Auflösungen;Belgien [€/MWh] Originale Auflösungen;Dänemark 1 [€/MWh] Originale Auflösungen;Dänemark 2 [€/MWh] Originale Auflösungen;Frankreich [€/MWh] Originale Auflösungen;Niederlande [€/MWh] Originale Auflösungen;Norwegen 2 [€/MWh] Originale Auflösungen;Österreich [€/MWh] Originale Auflösungen;Polen [€/MWh] Originale Auflösungen;Schweden 4 [€/MWh] Originale Auflösungen;Schweiz [€/MWh] Originale Auflösungen;Tschechien [€/MWh] Originale Auflösungen;DE/AT/LU [€/MWh] Originale Auflösungen;Italien (Nord) [€/MWh] Originale Auflösungen;Slowenien [€/MWh] Originale Auflösungen;Ungarn [€/MWh] Originale Auflösungen
06.12.2021;00:00;01:00;197,53;170,22;200,37;129,06;129,06;204,44;196,78;129,06;200,06;129,06;129,06;242,63;182,88;-;204,44;200,06;182,88
06.12.2021;01:00;02:00;182,57;164,89;192,84;126,91;126,91;207,56;180;126,91;191,74;126,91;126,91;228,13;178,94;-;207,56;191,74;178,94
06.12.2021;02:00;03:00;184,2;159,93;189,96;125,92;125,92;198,22;182,75;125,92;189,34;125,92;125,92;224,35;145;-;198,22;189,34;145
06.12.2021;03:00;04:00;174,12;155,38;179,47;129,48;129,48;187,15;172,78;129,48;178,9;129,48;129,48;213,45;130;-;187,15;178,9;130
06.12.2021;04:00;05:00;174,14;160,99;176,46;136,62;136,62;179,8;173,55;136,62;176,21;136,62;136,62;207,59;174,14;-;179,8;176,21;174,14
06.12.2021;05:00;06:00;181,95;184,07;187,4;180,16;177,58;195,23;180,16;163,57;186,81;164,39;177,58;229,96;181,95;-;195,23;186,81;181,95
06.12.2021;06:00;07:00;263,39;248,34;265,33;259,03;263,39;266,95;259,03;142,5;264,31;190,36;263,39;294,05;263,39;-;266,95;264,31;264,31
06.12.2021;07:00;08:00;348,1;315,95;348,1;348,1;348,1;348,1;348,1;188,07;348,1;154,59;348,1;347,97;348,1;-;348,1;348,1;348,1
06.12.2021;08:00;09:00;371,54;343,98;371,54;371,54;371,54;371,54;371,54;191,83;371,54;252,59;371,54;367,06;371,54;-;360;360;371,54
06.12.2021;09:00;10:00;363,67;359,54;363,67;363,67;363,67;363,67;363,67;352,04;363,67;326,62;363,67;366,91;363,67;-;363,67;363,67;363,67
06.12.2021;10:00;11:00;360;343,11;360;360;360;360;360;233,11;360;306,22;360;354,86;360;-;360;360;360
06.12.2021;11:00;12:00;353,01;333,13;353,01;353,01;353,01;353,01;353,01;155,97;353,01;337,51;353,01;346,88;353,01;-;353,01;353,01;353,01
06.12.2021;12:00;13:00;331,71;316,86;331,71;331,71;339,87;331,71;331,71;148,76;331,71;326,63;339,87;340,02;331,71;-;331,71;331,71;331,71
06.12.2021;13:00;14:00;315,13;303,02;315,13;315,13;322,88;315,13;315,13;146,01;315,13;322,88;322,88;327,75;315,13;-;315,13;315,13;315,13
06.12.2021;14:00;15:00;314,93;302,81;314,93;314,93;322,67;314,93;314,93;150,45;314,93;322,67;322,67;322,91;314,93;-;314,93;314,93;314,93
06.12.2021;15:00;16:00;317,07;323,59;290,49;281,5;456,77;315,5;281,5;152,93;334,26;326,63;456,77;328,91;334,26;-;315,5;315,5;334,26
06.12.2021;16:00;17:00;313,9;353,63;254,58;234,8;626,06;310,7;234,8;227,29;352,35;337,71;626,06;333,2;352,35;-;320,1;320,1;352,35
06.12.2021;17:00;18:00;313,64;340,4;299,92;300;520,69;320,29;300;188,07;320,29;326,63;520,69;327,56;320,29;-;320,29;320,29;320,29
06.12.2021;18:00;19:00;276,4;286,31;259,4;203,91;350,05;334,82;221;198;290,3;315,75;350,05;335,88;290,3;-;334,82;290,3;290,3
06.12.2021;19:00;20:00;250,02;258,98;249,2;149,85;317,34;317;181,7;145,5;265,78;317,34;317,34;321,97;265,78;-;317;265,78;265,78
06.12.2021;20:00;21:00;225,8;229,95;240;146,24;263,17;273,61;172,47;142;237,22;263,17;263,17;291,19;237,22;-;273,61;237,22;237,22
06.12.2021;21:00;22:00;199;194,35;176,6;152,85;199;250;155,22;148,42;210,63;185,1;199;262,04;199;-;250;210,63;199
06.12.2021;22:00;23:00;195,5;189,4;187,5;140,77;195,5;235,1;156,28;134,73;204,05;187,39;195,5;251,05;195,5;-;235,1;204,05;204,05
06.12.2021;23:00;00:00;162,1;163,57;121,4;128,12;162,1;226,05;128,12;126,35;178,2;162,1;162,1;242,63;162,1;-;226,05;178,2;162,1
